1,0,0.0,0.0,0.0,0.0,28.0
1,4,0.0,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0,28.0
2,4,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,34.0
3,0,0.0,0.0,0.0,0.0,28.0
3,4,0.0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,25.5,0.0
3,3,0.0,0.0,0.0,0.0,34.0
4,0,0.0,0.0,0.0,0.0,28.0
4,4,0.0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,25.5,0.0
4,3,0.0,0.0,0.0,0.0,34.0
5,0,0.0,0.0,0.0,0.0,28.0
5,4,0.0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,25.5,0.0
5,3,0.0,0.0,0.0,0.0,34.0
6,0,0.0,19.125,0.0,0.0,28.0
6,4,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,25.5,0.0
6,3,0.0,0.0,0.0,0.0,34.0
7,0,0.0,19.125,0.0,0.0,28.0
7,4,0.0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,25.5,0.0
7,3,0.0,0.0,0.0,0.0,34.0
8,0,0.0,19.125,0.0,0.0,28.0
8,4,0.0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,25.5,0.0
8,3,0.0,0.0,0.0,0.0,34.0
8,2,0.0,0.0,0.0,0.0,30.0
9,0,0.0,19.125,0.0,0.0,28.0
9,4,0.0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,25.5,0.0
9,3,0.0,0.0,0.0,0.0,34.0
9,2,0.0,0.0,0.0,0.0,30.0
10,0,0.0,19.125,0.0,0.0,28.0
10,4,0.0,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,25.5,0.0
10,3,0.0,0.0,0.0,0.0,34.0
10,2,0.0,0.0,0.0,0.0,30.0
11,0,0.0,19.125,0.0,0.0,28.0
11,4,0.0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,25.5,0.0
11,3,0.0,0.0,0.0,0.0,34.0
11,2,0.0,0.0,0.0,0.0,30.0
12,0,0.0,19.125,0.0,0.0,28.0
12,4,0.0,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,25.5,0.0
12,3,0.0,0.0,0.0,0.0,34.0
12,2,0.0,0.0,0.0,0.0,30.0
13,0,0.0,19.125,0.0,0.0,28.0
13,4,0.0,0.0,0.0,0.0,0.0
13,1,0.0,0.0,22.5,25.5,0.0
13,3,0.0,0.0,0.0,0.0,34.0
13,2,0.0,0.0,0.0,0.0,30.0
14,0,0.0,19.125,0.0,0.0,28.0
14,4,0.0,0.0,0.0,0.0,0.0
14,1,0.0,0.0,22.5,25.5,0.0
14,3,0.0,0.0,0.0,0.0,34.0
14,2,0.0,0.0,0.0,0.0,30.0
15,0,0.0,19.125,0.0,0.0,28.0
15,4,0.0,0.0,0.0,0.0,0.0
15,1,0.0,0.0,22.5,25.5,0.0
15,3,0.0,0.0,0.0,0.0,34.0
15,2,0.0,0.0,0.0,0.0,30.0
16,0,0.0,19.125,0.0,0.0,28.0
16,4,0.0,0.0,0.0,0.0,0.0
16,1,0.0,0.0,22.5,25.5,0.0
16,3,0.0,0.0,0.0,0.0,34.0
16,2,0.0,0.0,0.0,0.0,30.0
17,0,0.0,19.125,0.0,0.0,28.0
17,4,0.0,0.0,0.0,0.0,0.0
17,1,0.0,0.0,22.5,25.5,0.0
17,3,0.0,0.0,0.0,0.0,34.0
17,2,0.0,0.0,0.0,0.0,30.0
18,0,0.0,19.125,0.0,0.0,28.0
18,4,0.0,0.0,0.0,0.0,0.0
18,1,0.0,0.0,22.5,25.5,0.0
18,3,0.0,0.0,0.0,0.0,34.0
18,2,0.0,0.0,0.0,0.0,30.0
19,0,0.0,19.125,0.0,0.0,28.0
19,4,0.0,0.0,0.0,0.0,0.0
19,1,0.0,0.0,22.5,25.5,0.0
19,3,0.0,0.0,0.0,0.0,34.0
19,2,0.0,0.0,0.0,0.0,30.0
20,0,0.0,19.125,0.0,0.0,28.0
20,4,0.0,0.0,0.0,0.0,0.0
20,1,0.0,0.0,22.5,25.5,0.0
20,3,0.0,0.0,0.0,0.0,34.0
20,2,0.0,0.0,0.0,0.0,30.0
21,0,0.0,19.125,0.0,0.0,28.0
21,4,0.0,0.0,0.0,0.0,0.0
21,1,0.0,0.0,22.5,25.5,0.0
21,3,0.0,0.0,0.0,0.0,34.0
21,2,0.0,0.0,0.0,0.0,30.0
22,0,0.0,19.125,0.0,0.0,28.0
22,4,0.0,0.0,0.0,0.0,0.0
22,1,0.0,0.0,22.5,25.5,0.0
22,3,0.0,0.0,0.0,0.0,34.0
22,2,0.0,0.0,0.0,0.0,30.0
23,0,0.0,19.125,0.0,0.0,28.0
23,4,0.0,0.0,0.0,0.0,0.0
23,1,0.0,0.0,22.5,25.5,0.0
23,3,0.0,0.0,0.0,0.0,34.0
23,2,0.0,0.0,0.0,0.0,30.0
24,0,0.0,19.125,0.0,0.0,28.0
24,4,0.0,0.0,0.0,0.0,0.0
24,1,0.0,0.0,22.5,25.5,0.0
24,3,0.0,0.0,0.0,0.0,34.0
24,2,0.0,0.0,0.0,0.0,30.0
25,0,0.0,19.125,0.0,0.0,28.0
